Plate,Row,ColPair,Column,Sample,WellGroup,WellGroupType,Time
1,C,5,9,83,C_5,Test sample,240
1,C,5,9,83,C_5,Test sample,360
1,C,5,9,83,C_5,Test sample,1440
1,C,5,9,83,C_5,Test sample,1800
1,C,5,10,83,C_5,Test sample,0
1,C,5,10,83,C_5,Test sample,20
1,C,5,10,83,C_5,Test sample,60
1,C,5,10,83,C_5,Test sample,120
1,C,5,10,83,C_5,Test sample,180
1,C,5,10,83,C_5,Test sample,240
1,C,5,10,83,C_5,Test sample,360
1,C,5,10,83,C_5,Test sample,1440
1,C,5,10,83,C_5,Test sample,1800
1,C,6,11,208,C_6,Test sample,0
1,C,6,11,208,C_6,Test sample,20
1,C,6,11,208,C_6,Test sample,60
1,C,6,11,208,C_6,Test sample,120
1,C,6,11,208,C_6,Test sample,180
1,C,6,11,208,C_6,Test sample,240
1,C,6,11,208,C_6,Test sample,360
1,C,6,11,208,C_6,Test sample,1440
1,C,6,11,208,C_6,Test sample,1800
1,C,6,12,208,C_6,Test sample,0
1,C,6,12,208,C_6,Test sample,20
1,C,6,12,208,C_6,Test sample,60
1,C,6,12,208,C_6,Test sample,120
1,C,6,12,208,C_6,Test sample,180
1,C,6,12,208,C_6,Test sample,240
1,C,6,12,208,C_6,Test sample,360
1,C,6,12,208,C_6,Test sample,1440
1,C,6,12,208,C_6,Test sample,1800
1,D,1,1,31,D_1,Test sample,0
1,D,1,1,31,D_1,Test sample,20
1,D,1,1,31,D_1,Test sample,60
1,D,1,1,31,D_1,Test sample,120
1,D,1,1,31,D_1,Test sample,180
1,D,1,1,31,D_1,Test sample,240
1,D,1,1,31,D_1,Test sample,360
1,D,1,1,31,D_1,Test sample,1440
1,D,1,1,31,D_1,Test sample,1800
1,D,1,2,31,D_1,Test sample,0
1,D,1,2,31,D_1,Test sample,20
1,D,1,2,31,D_1,Test sample,60
1,D,1,2,31,D_1,Test sample,120
1,D,1,2,31,D_1,Test sample,180
1,D,1,2,31,D_1,Test sample,240
1,D,1,2,31,D_1,Test sample,360
1,D,1,2,31,D_1,Test sample,1440
1,D,1,2,31,D_1,Test sample,1800
1,D,2,3,181,D_2,Test sample,0
1,D,2,3,181,D_2,Test sample,20
1,D,2,3,181,D_2,Test sample,60
1,D,2,3,181,D_2,Test sample,120
1,D,2,3,181,D_2,Test sample,180
1,D,2,3,181,D_2,Test sample,240
1,D,2,3,181,D_2,Test sample,360
1,D,2,3,181,D_2,Test sample,1440
1,D,2,3,181,D_2,Test sample,1800
1,D,2,4,181,D_2,Test sample,0
1,D,2,4,181,D_2,Test sample,20
1,D,2,4,181,D_2,Test sample,60
1,D,2,4,181,D_2,Test sample,120
1,D,2,4,181,D_2,Test sample,180
1,D,2,4,181,D_2,Test sample,240
1,D,2,4,181,D_2,Test sample,360
1,D,2,4,181,D_2,Test sample,1440
1,D,2,4,181,D_2,Test sample,1800
1,D,3,5,94,D_3,Test sample,0
1,D,3,5,94,D_3,Test sample,20
1,D,3,5,94,D_3,Test sample,60
1,D,3,5,94,D_3,Test sample,120
1,D,3,5,94,D_3,Test sample,180
1,D,3,5,94,D_3,Test sample,240
1,D,3,5,94,D_3,Test sample,360
1,D,3,5,94,D_3,Test sample,1440
1,D,3,5,94,D_3,Test sample,1800
1,D,3,6,94,D_3,Test sample,0
1,D,3,6,94,D_3,Test sample,20
1,D,3,6,94,D_3,Test sample,60
1,D,3,6,94,D_3,Test sample,120
1,D,3,6,94,D_3,Test sample,180
1,D,3,6,94,D_3,Test sample,240
1,D,3,6,94,D_3,Test sample,360
1,D,3,6,94,D_3,Test sample,1440
1,D,3,6,94,D_3,Test sample,1800
1,D,4,7,133,D_4,Test sample,0
1,D,4,7,133,D_4,Test sample,20
1,D,4,7,133,D_4,Test sample,60
1,D,4,7,133,D_4,Test sample,120
1,D,4,7,133,D_4,Test sample,180
1,D,4,7,133,D_4,Test sample,240
1,D,4,7,133,D_4,Test sample,360
1,D,4,7,133,D_4,Test sample,1440
1,D,4,7,133,D_4,Test sample,1800
1,D,4,8,133,D_4,Test sample,0
1,D,4,8,133,D_4,Test sample,20
1,D,4,8,133,D_4,Test sample,60
1,D,4,8,133,D_4,Test sample,120
1,D,4,8,133,D_4,Test sample,180
1,D,4,8,133,D_4,Test sample,240
1,D,4,8,133,D_4,Test sample,360
1,D,4,8,133,D_4,Test sample,1440
1,D,4,8,133,D_4,Test sample,1800
1,D,5,9,156,D_5,Test sample,0
1,D,5,9,156,D_5,Test sample,20
1,D,5,9,156,D_5,Test sample,60
1,D,5,9,156,D_5,Test sample,120
1,D,5,9,156,D_5,Test sample,180
1,D,5,9,156,D_5,Test sample,240
1,D,5,9,156,D_5,Test sample,360
1,D,5,9,156,D_5,Test sample,1440
1,D,5,9,156,D_5,Test sample,1800
1,D,5,10,156,D_5,Test sample,0
1,D,5,10,156,D_5,Test sample,20
1,D,5,10,156,D_5,Test sample,60
1,D,5,10,156,D_5,Test sample,120
1,D,5,10,156,D_5,Test sample,180
1,D,5,10,156,D_5,Test sample,240
1,D,5,10,156,D_5,Test sample,360
1,D,5,10,156,D_5,Test sample,1440
1,D,5,10,156,D_5,Test sample,1800
1,D,6,11,96,D_6,Test sample,0
1,D,6,11,96,D_6,Test sample,20
