Plate,Row,ColPair,Col,Sample,ID,WellGroup,WellGroupType,Mass_sample,Time,OD_sample,Mass_blk,OD_blk,Slope,Mean_slope,C_sample,C_blk,C_spl_nor,C_blk_nor,mean_blk,C,Hydro_extent,Amylose_content,D1,D5,D9,h,k,Xinf,mean_Peak,mean_Trough,mean_Final,mean_PastingTemp
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,0,0.188,9.98,0.125,0.1891,0.1899,0.9899947340705634,0.6582411795681937,0.9715355584598266,0.6595603001685307,0.47743471557154177,0.4941008428882849,4.446907585994564,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,20,0.173,9.98,0.08,0.1891,0.1899,0.9110057925223801,0.421274354923644,0.8940194234763299,0.4221185921078597,0.47743471557154177,0.41658470790478813,3.749262371143093,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,60,0.348,9.98,0.099,0.1891,0.1899,1.8325434439178512,0.5213270142180094,1.798374331617126,0.5223717577334763,0.47743471557154177,1.3209396160455842,11.888456544410259,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,120,0.515,9.98,0.082,0.1891,0.1899,2.711953659820958,0.4318062137967351,2.6613873011000573,0.43267155691055614,0.47743471557154177,2.1839525855285156,19.65557326975664,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,180,0.707,9.98,0.081,0.1891,0.1899,3.7230121116377037,0.42654028436018954,3.653593828888816,0.427395074509208,0.47743471557154177,3.1761591133172744,28.58543201985547,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,240,0.85,9.98,0.08,0.1891,0.1899,4.476040021063717,0.421274354923644,4.392580982398153,0.4221185921078597,0.47743471557154177,3.915146266826611,35.2363164014395,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,360,1.05,9.98,0.084,0.1891,0.1899,5.529225908372828,0.4423380726698262,5.426129448844778,0.4432245217132527,0.47743471557154177,4.948694733273236,44.53825259945912,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,1440,1.577,9.98,0.083,0.1907,0.1899,8.304370721432331,0.43707214323328064,8.149529657931632,0.43794803931190446,0.47743471557154177,7.67209494236009,69.04885448124081,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,3,5,15,cav4080932,F_3,Test sample,10.19,1800,1.694,9.98,0.082,0.1907,0.1899,8.920484465508162,0.4318062137967351,8.754155510802907,0.43267155691055614,0.47743471557154177,8.276720795231364,74.49048715708228,29.488305704244503,4.027,18.71,33.671499999999995,0.13010422503683805,0.0049280464190665915,79.11602807114937,192.79000000000002,136.08499999999998,298.875,49.900000000000006
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,0,0.14,10.08,0.134,0.1891,0.1899,0.7372301211163771,0.7056345444971037,0.7095573831726439,0.7000342703344283,0.47743471557154177,0.23212266760110217,2.0891040084099197,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
